2019-05-21 22:49:10 iter:114, accuracy=17.38%
2019-05-21 22:49:16 iter:115, accuracy=15.82%
2019-05-21 22:49:22 iter:116, accuracy=13.48%
2019-05-21 22:49:27 iter:117, accuracy=19.73%
2019-05-21 22:49:33 iter:118, accuracy=15.82%
2019-05-21 22:49:39 iter:119, accuracy=15.82%
2019-05-21 22:49:44 iter:120, accuracy=13.87%
2019-05-21 22:49:50 iter:121, accuracy=15.23%
2019-05-21 22:49:55 iter:122, accuracy=15.82%
2019-05-21 22:50:01 iter:123, accuracy=15.43%
2019-05-21 22:50:07 iter:124, accuracy=18.75%
2019-05-21 22:50:12 iter:125, accuracy=18.75%
2019-05-21 22:50:18 iter:126, accuracy=15.62%
2019-05-21 22:50:24 iter:127, accuracy=15.82%
2019-05-21 22:50:29 iter:128, accuracy=13.87%
2019-05-21 22:50:35 iter:129, accuracy=20.51%
2019-05-21 22:50:41 iter:130, accuracy=16.21%
2019-05-21 22:50:46 iter:131, accuracy=18.16%
2019-05-21 22:50:52 iter:132, accuracy=18.55%
2019-05-21 22:50:58 iter:133, accuracy=16.6%
2019-05-21 22:51:04 iter:134, accuracy=13.48%
2019-05-21 22:51:10 iter:135, accuracy=16.21%
2019-05-21 22:51:15 iter:136, accuracy=16.6%
2019-05-21 22:51:21 iter:137, accuracy=16.41%
2019-05-21 22:51:27 iter:138, accuracy=21.68%
2019-05-21 22:51:33 iter:139, accuracy=16.6%
2019-05-21 22:51:39 iter:140, accuracy=16.99%
2019-05-21 22:51:45 iter:141, accuracy=19.73%
2019-05-21 22:51:50 iter:142, accuracy=16.02%
2019-05-21 22:51:56 iter:143, accuracy=10.94%
2019-05-21 22:52:02 iter:144, accuracy=16.99%
2019-05-21 22:52:07 iter:145, accuracy=18.95%
2019-05-21 22:52:14 iter:146, accuracy=19.14%
2019-05-21 22:52:20 iter:147, accuracy=19.14%
2019-05-21 22:52:26 iter:148, accuracy=18.36%
2019-05-21 22:52:32 iter:149, accuracy=15.62%
2019-05-21 22:52:38 iter:150, accuracy=18.95%
2019-05-21 22:52:45 iter:151, accuracy=18.55%
2019-05-21 22:52:51 iter:152, accuracy=19.14%
2019-05-21 22:52:57 iter:153, accuracy=18.95%
2019-05-21 22:53:03 iter:154, accuracy=14.26%
2019-05-21 22:53:09 iter:155, accuracy=16.02%
2019-05-21 22:53:16 iter:156, accuracy=16.41%
2019-05-21 22:53:23 iter:157, accuracy=18.36%
2019-05-21 22:53:30 iter:158, accuracy=19.92%
2019-05-21 22:53:37 iter:159, accuracy=20.12%
2019-05-21 22:53:43 iter:160, accuracy=16.6%
2019-05-21 22:53:50 iter:161, accuracy=18.55%
2019-05-21 22:53:56 iter:162, accuracy=17.58%
2019-05-21 22:54:03 iter:163, accuracy=18.95%
2019-05-21 22:54:09 iter:164, accuracy=18.55%
2019-05-21 22:54:16 iter:165, accuracy=17.38%
2019-05-21 22:54:22 iter:166, accuracy=16.41%
2019-05-21 22:54:29 iter:167, accuracy=19.73%
2019-05-21 22:54:36 iter:168, accuracy=19.73%
2019-05-21 22:54:43 iter:169, accuracy=20.51%
2019-05-21 22:54:50 iter:170, accuracy=17.77%
2019-05-21 22:54:57 iter:171, accuracy=19.73%
2019-05-21 22:55:03 iter:172, accuracy=14.84%
2019-05-21 22:55:10 iter:173, accuracy=17.38%
2019-05-21 22:55:17 iter:174, accuracy=18.55%
2019-05-21 22:55:25 iter:175, accuracy=19.92%
2019-05-21 22:55:32 iter:176, accuracy=19.92%
2019-05-21 22:55:41 iter:177, accuracy=18.95%
2019-05-21 22:55:48 iter:178, accuracy=15.04%
2019-05-21 22:55:56 iter:179, accuracy=15.04%
2019-05-21 22:56:05 iter:180, accuracy=23.44%
2019-05-21 22:56:14 iter:181, accuracy=19.34%
2019-05-21 22:56:22 iter:182, accuracy=19.34%
2019-05-21 22:56:31 iter:183, accuracy=20.7%
2019-05-21 22:56:41 iter:184, accuracy=18.55%
2019-05-21 22:56:52 iter:185, accuracy=17.38%
2019-05-21 22:57:03 iter:186, accuracy=19.34%
2019-05-21 22:57:14 iter:187, accuracy=19.92%
2019-05-21 22:57:27 iter:188, accuracy=18.55%
2019-05-21 22:57:42 iter:189, accuracy=17.77%
2019-05-21 22:58:01 iter:190, accuracy=19.53%
2019-05-21 22:58:28 iter:191, accuracy=16.21%
2019-05-21 22:59:28 iter:192, accuracy=18.36%
2019-05-21 23:03:46 iter:193, accuracy=18.75%
2019-05-21 23:03:51 iter:194, accuracy=19.92%
2019-05-21 23:03:57 iter:195, accuracy=19.92%
